rmsd
Frame,binding_site
0.0,0.0
1.0,4.0391598690399E-06
2.0,1.0720581905393600
3.0,1.1529471828637000
4.0,1.0757947552403800
5.0,2.0588423078866500
6.0,1.784979096695910
7.0,2.3639347240494000
8.0,1.9160634863515400
9.0,2.393613674376160
10.0,2.4072100949230100
11.0,2.8084588523820500
12.0,2.762053359675670
13.0,2.421623869505820
14.0,2.3672320461513500
15.0,2.120616896659720
16.0,2.395770345641730
17.0,2.550925218820710
18.0,1.9941713224917600
19.0,2.2926514872048200
20.0,1.926977576900990
21.0,2.246746026773650
22.0,1.9582413836329300
23.0,2.338399843827290
24.0,2.280056451800400
25.0,1.9188781733754800
26.0,1.651663324518630
27.0,1.5546597988249900
28.0,1.8734117390635100
29.0,1.8512475056475300
30.0,1.9121818675534300
31.0,1.6146331395039700
32.0,2.0058281104725700
33.0,1.861332305239100
34.0,1.4673009130000400
35.0,1.788900987957180
36.0,1.5810605359871400
37.0,1.7801256763957100
38.0,1.757154450807490
39.0,1.708124328684540
40.0,1.996841284751620
41.0,1.8870749119081400
42.0,1.852087098256590
43.0,1.904723855291090
44.0,1.8997354998113000
45.0,1.9415221608257500
46.0,1.9435879060325400
47.0,2.2168461829518600
48.0,2.42249547482128
49.0,2.537167857383240
50.0,2.1570059563775300
51.0,2.3066421359590600
52.0,2.7505994869578600
53.0,2.773910747447820
54.0,2.3216707696369200
55.0,2.0160641895419700
56.0,2.135648727015180
57.0,1.4870673947049900
58.0,1.5601286541948100
59.0,2.1320741350523400
60.0,1.9574964986286000
61.0,1.681236630989970
62.0,2.137754044403780
63.0,2.3495140168563800
64.0,2.442530644118920
65.0,1.8439666744160100
66.0,1.9587312201451400
67.0,2.134983013292890
68.0,2.1090346993094800
69.0,2.229008144666690
70.0,2.3579977877753100
71.0,1.9214590079216300
72.0,2.3565695889619000
73.0,2.293159040604090
74.0,2.2634814324461400
75.0,2.6009343318875000
76.0,2.665410444720180
77.0,2.5533651279878300
78.0,2.4232395847920400
79.0,2.554896685184170
80.0,2.6675940540659300
81.0,2.426470310213250
82.0,2.6597692674107000
83.0,2.8937344873769100
84.0,2.3975277127252400
85.0,2.0124473198348900
86.0,2.473403140230410
87.0,2.299175832044360
88.0,2.2254662477261000
89.0,2.3779543028434500
90.0,2.360403344357660
91.0,2.7875121501982500
92.0,2.3574450525904900
93.0,2.6482781888909300
94.0,2.438587797663550
95.0,2.3753862195435300
96.0,2.754313997703610
97.0,2.479595944965840
98.0,2.4998050583582500
99.0,2.3982519855453400
100.0,2.3136173401447800
101.0,2.3040872812329500
102.0,2.3721279569521100
103.0,2.4706207860761200
104.0,2.3852430289971500
105.0,2.280702038196060
106.0,2.3558966437685000
107.0,2.3985584453089300
108.0,2.4049180958323700
109.0,2.431161304324600
110.0,2.157756561284880
111.0,2.183021257543950
112.0,2.181044347819320
113.0,1.9666003696130800
114.0,2.14425780820321
115.0,2.15893117514824
116.0,2.334082706848170
117.0,2.21965771564553
118.0,2.1584219962968200
119.0,2.613647709944870
120.0,2.517461889585240
121.0,2.377233664655910
122.0,2.061238649788990
123.0,2.1152613501777600
124.0,1.9816074451899700
125.0,1.7866854241630800
126.0,2.0689839035968900
127.0,2.0789901766113400
128.0,1.9618474213059900
129.0,2.079958800078990
130.0,1.7459290576929900
131.0,1.2790153558282200
132.0,1.5059886884781900
133.0,1.7606262090101600
134.0,2.157003059372390
135.0,2.3413430889517300
136.0,2.380789564187220
137.0,1.9884853550592800
138.0,2.0661285559151000
139.0,1.9138111294429300
140.0,2.275614440849290
141.0,2.0090585198736900
142.0,1.6171719878388400
143.0,1.4413386408869000
144.0,2.0262689102618200
145.0,2.0817603472847900
146.0,1.767168833885500
147.0,1.5731777673604600
148.0,1.6783608343745700
149.0,1.7886776018483300
150.0,1.6151354153150700
151.0,1.5545349460760800
152.0,1.5562747150334100
153.0,1.5751551408331700
154.0,1.727784373327320
155.0,1.6561396144517100
156.0,1.5131359208790400
157.0,1.7642991353103800
158.0,1.4988064912026600
159.0,1.4899458551585400
160.0,1.3980183908554300
161.0,1.3483181731892600
162.0,1.4957835909890700
163.0,1.5356558369912500
164.0,1.48411508370443
165.0,1.687126133552390
166.0,1.4082149914080300
167.0,1.6951106046485900
168.0,1.5498658228026300
169.0,1.9262355233673900
170.0,1.9630387083000700
171.0,1.963243463068050
172.0,1.7603061659757400
173.0,1.3223043529014300
174.0,1.5659762774410300
175.0,1.744716820700640
176.0,1.1264822658621600
177.0,1.14102060257733
178.0,1.59586106856121
179.0,1.7130906438205600
180.0,1.4506714451604100
181.0,1.641102806731670
182.0,1.9242674531853400
183.0,2.037399312031650
184.0,1.6424221910657200
185.0,1.4503589174158200
186.0,1.7998530137308700
187.0,2.0465511621751500
188.0,2.257556920912570
189.0,1.766660105532590
190.0,2.112963842799160
191.0,2.1913950646102300
192.0,2.1406316477833800
193.0,2.09830006496227
194.0,2.25996129189902
195.0,2.328956158308080
196.0,2.4672822590535600
197.0,2.5290355565718400
198.0,2.7079915156230900
199.0,2.519085336732640
200.0,2.196272280384940
201.0,2.3355060039806400
202.0,2.3773250945413800
203.0,2.4247655560078100
204.0,2.436358220927590
205.0,2.563065540604900
206.0,2.206352900509350
207.0,2.2870852369317500
208.0,2.193565629306940
209.0,2.373005434353530
210.0,2.0401414624409200
211.0,2.3688631553473000
212.0,2.6513931984344700
213.0,2.4815508677950300
214.0,2.5766669371161200
215.0,2.465125618817490
216.0,2.4304834822742000
217.0,2.4856826656923500
218.0,2.4582288534836900
219.0,2.194797419811750
220.0,2.505151494846170
221.0,2.6037878344816800
222.0,2.486426272388160
223.0,1.8024041127562100
224.0,1.7394222545854300
225.0,2.0849377907746900
226.0,1.7673222934541700
227.0,1.9343707343571500
228.0,1.991878438411150
229.0,2.111993503218380
230.0,2.4020448181922200
231.0,2.2722605364961300
232.0,2.225346053267020
233.0,2.2739413882100100
234.0,1.7784869635353700
235.0,1.8691323781718100
236.0,2.0065776821691100
237.0,1.9725549643604300
238.0,1.8659808761003600
239.0,2.156011760343150
240.0,2.152399449235600
241.0,2.2394862762378200
242.0,2.0750028282631400
243.0,1.5509586461560100
244.0,1.792481760737330
245.0,2.118494208180220
246.0,2.2516346228921600
247.0,2.5110339272109100
248.0,2.516310432489040
249.0,2.5170547635795100
250.0,2.768952489488960
251.0,2.3528471655794500
252.0,2.1491999081783700
253.0,2.150396880894220
254.0,1.7331817686161300
255.0,2.0406258084576200
256.0,1.832347619955570
257.0,1.4363250623985600
258.0,1.43875028849995
259.0,1.6413837442989100
260.0,1.7439297214009900
261.0,1.5016671449791000
262.0,1.826110236107530
263.0,1.7933277317557600
264.0,1.897305962630840
265.0,1.682493610861250
266.0,1.8836990641458100
267.0,1.8770948376822000
268.0,2.114163882177860
269.0,1.549663597568230
270.0,1.4856830152126000
271.0,1.7406121673984600
272.0,1.466649806583010
273.0,1.3015705909034000
274.0,1.7537435444940400
275.0,1.5304802977119200
276.0,1.7445610670353900
277.0,1.341173913297850
278.0,1.2772616549152700
279.0,1.4060093003782000
280.0,1.3273768079693800
281.0,1.3751081335896000
282.0,1.8280074177478600
283.0,1.722916878353820
284.0,1.6924390748674400
285.0,1.5723011815393200
286.0,1.323058262417260
287.0,1.7751523897806100
288.0,1.8067008367066700
289.0,1.8798735364356300
290.0,1.5875423118569100
291.0,1.7778714808364200
292.0,1.5340622217911400
293.0,1.4530334665397800
294.0,1.808131073088820
295.0,2.4832826448906800
296.0,1.998054101856760
297.0,2.256014803289090
298.0,1.7163602049058500
299.0,2.209069088242610
300.0,2.153712273093600
301.0,2.060948691967090
