Frame,Time (ns),binding_site,binding_site
0.0,0.0,1.790326135497788e-07,0.0
1.0,0.4888821,0.000661743605031917,0.0006618702881775892
2.0,0.9777642,0.7442525387437753,0.7442526540340518
3.0,1.4666463000000003,0.9026088156673923,0.9026088400518131
4.0,1.9555284,0.812888421126672,0.8128883514100765
5.0,2.4444105,0.6667538023429253,0.6667538109062802
6.0,2.9332926000000006,0.8328465616772662,0.8328466184733404
7.0,3.4221747000000002,0.7844584735691895,0.7844585043371457
8.0,3.9110568,0.8473135748096272,0.8473134914356123
9.0,4.3999389,0.9351914001234987,0.935191364579824
10.0,4.888821,1.1000097902619879,1.1000097919259877
11.0,5.3777031,0.8015181840665001,0.801518225214119
12.0,5.866585200000001,0.9278773905179741,0.9278773795134566
13.0,6.355467300000001,0.882439920358595,0.8824399077792149
14.0,6.8443494000000005,1.1183868542052247,1.1183868434213882
15.0,7.3332315,0.9772696086063629,0.9772695688607519
16.0,7.8221136,0.883005829963214,0.8830057817980473
17.0,8.3109957,1.2819653139395473,1.2819653078605626
18.0,8.7998778,1.0767642176192704,1.0767642301717406
19.0,9.2887599,1.1342969919832249,1.134296966444986
20.0,9.777642,1.5330406644316972,1.5330406036000408
21.0,10.266524100000002,1.5530033588005439,1.5530033723977184
22.0,10.7554062,1.706661486088825,1.7066615832730545
23.0,11.244288300000001,1.9196853104749498,1.919685292775671
24.0,11.733170400000002,1.8304807669720395,1.830480711111203
25.0,12.2220525,1.7777318922150867,1.777731903228987
26.0,12.710934600000002,1.9207485621248594,1.9207485281055658
27.0,13.1998167,1.9712627684234012,1.9712626906595019
28.0,13.688698800000001,2.121029846003712,2.121029803731562
29.0,14.177580899999999,1.609941799621149,1.6099417892727734
30.0,14.666463,1.9455475297333298,1.9455473821659146
31.0,15.1553451,1.6760403184376358,1.6760402546523594
32.0,15.6442272,1.921241860632682,1.9212418924648846
33.0,16.1331093,1.9879455393276504,1.9879454649427164
34.0,16.6219914,2.0492333231243784,2.049233325684094
35.0,17.1108735,1.8582624621515524,1.8582623715847526
36.0,17.5997556,1.3962988419228577,1.396298760538349
37.0,18.0886377,1.4157644200960497,1.415764423605396
38.0,18.5775198,1.6809569111660216,1.6809568999282232
39.0,19.066401900000002,1.9481063357477781,1.9481063185757217
40.0,19.555284,1.6943197869002675,1.6943197245035313
41.0,20.0441661,1.3932279363406155,1.3932278878173319
42.0,20.533048200000003,2.040507556227234,2.0405075270944795
43.0,21.0219303,2.1101512067124473,2.110151181992681
44.0,21.5108124,1.7096286196271764,1.709628604734501
45.0,21.999694500000004,1.9007058188207935,1.9007057821403073
46.0,22.488576600000002,1.6431306178259988,1.643130590420216
47.0,22.9774587,1.8958759561424523,1.8958758834396414
48.0,23.466340800000005,1.4360863360094953,1.4360862673975137
49.0,23.955222900000003,2.000630462761808,2.0006303971619444
50.0,24.444105,2.0882464250181525,2.088246366001827
51.0,24.9329871,1.9534124047201435,1.9534124542651408
52.0,25.421869200000003,2.1973364472565664,2.1973363647400785
53.0,25.9107513,1.852796345856827,1.8527963857412395
54.0,26.3996334,1.8831141231381245,1.8831142087958332
55.0,26.888515499999997,2.059371769693778,2.059371644500522
56.0,27.377397600000002,2.2804639595512795,2.2804639191655154
57.0,27.8662797,2.174213624708969,2.174213515864062
58.0,28.355161799999998,1.5819569774208506,1.58195694132442
59.0,28.844043900000003,1.06798483883622,1.06798483609473
60.0,29.332926,0.9512908928639014,0.9512908369330375
61.0,29.8218081,1.4679095793312178,1.46790950831608
62.0,30.3106902,1.5545899980794347,1.5545899672310846
63.0,30.7995723,1.8773303295589485,1.877330330913258
64.0,31.2884544,1.7274131530202785,1.7274130409230406
65.0,31.7773365,1.835491105271644,1.8354910891998553
66.0,32.2662186,1.3511875708023002,1.3511876695805387
67.0,32.7551007,1.9692446334045637,1.9692446086225612
68.0,33.2439828,1.6272285362253625,1.6272284713252347
69.0,33.732864899999996,1.776436574967423,1.7764365658821966
70.0,34.221747,1.3036325229313492,1.3036323994545187
71.0,34.7106291,2.4024056487686862,2.4024055516417047
72.0,35.1995112,1.9962534577105944,1.9962534970470678
73.0,35.6883933,1.8799115628577199,1.8799114605293024
74.0,36.1772754,1.7586926624908825,1.7586926125919933
75.0,36.6661575,1.5568055157149885,1.5568055260274163
76.0,37.1550396,1.6452371647325652,1.6452371220463986
77.0,37.6439217,2.4625460582918195,2.4625461504366353
78.0,38.132803800000005,2.602916500732207,2.602916356942125
79.0,38.6216859,2.91959723662415,2.919597094995474
80.0,39.110568,2.8775991771847305,2.8775992101066374
81.0,39.5994501,3.0274176595197453,3.0274175304563427
82.0,40.0883322,2.7364024158806637,2.7364024194149272
83.0,40.5772143,2.6637364097191116,2.663736278706071
84.0,41.066096400000006,2.7180487762233767,2.718048698271244
85.0,41.5549785,2.571571450659947,2.571571412992425
86.0,42.0438606,2.7810410266998584,2.7810409674044028
87.0,42.5327427,2.884039244579937,2.8840391477453404
88.0,43.0216248,2.151255618523458,2.1512555524222696
89.0,43.5105069,2.7245886954452,2.7245886400506416
90.0,43.99938900000001,2.5117988800773845,2.511798872105616
91.0,44.4882711,2.7039271101860938,2.703927091275542
92.0,44.977153200000004,2.818914195115705,2.818914108660329
93.0,45.4660353,2.8283213275093986,2.8283213449676783
94.0,45.9549174,2.6404021925434873,2.64040219551811
95.0,46.443799500000004,2.707292475751675,2.7072924033146295
96.0,46.93268160000001,2.7814539696931,2.7814538389508567
97.0,47.4215637,3.1437626105200525,3.143762582689811
98.0,47.910445800000005,3.1003792195657875,3.1003790415221673
99.0,48.399327899999996,2.323511860778461,2.3235118736501925
100.0,48.88821,2.881839431382608,2.8818394223054242
101.0,49.377092100000006,2.756173922075515,2.756173822684714
102.0,49.8659742,2.7427248337064114,2.742724834215636
103.0,50.3548563,3.285805816054335,3.2858056811058836
104.0,50.84373840000001,3.0270934051391376,3.0270933895416268
105.0,51.3326205,3.0496495013202662,3.0496494566376544
106.0,51.8215026,2.814552726239387,2.8145526187887766
107.0,52.31038470000001,2.8160427923289526,2.816042832918628
108.0,52.7992668,3.143879895203645,3.1438798953627125
109.0,53.2881489,3.05859545391409,3.058595424890436
110.0,53.777030999999994,3.0324630063717164,3.032463000723266
111.0,54.2659131,2.933223996040718,2.933223907485424
112.0,54.754795200000004,2.8332665639534964,2.8332665005786746
113.0,55.2436773,2.3646166346601603,2.3646166635757306
114.0,55.7325594,2.8879536670537336,2.887953589674981
115.0,56.221441500000005,2.907681505854401,2.907681415848442
116.0,56.710323599999995,2.9357167838578055,2.9357167203363956
117.0,57.1992057,2.7305847844159765,2.730584784633634
118.0,57.688087800000005,2.597614373600679,2.59761432090837
119.0,58.1769699,3.002658200971389,3.002658145110166
120.0,58.665852,2.3828955518396686,2.3828956177749063
121.0,59.154734100000006,2.7162359632376587,2.7162358550520342
122.0,59.6436162,2.708593725617903,2.708593628046376
123.0,60.1324983,2.860298474540803,2.860298463735592
124.0,60.6213804,3.078718744444639,3.078718655066079
125.0,61.110262500000005,3.089492216210095,3.089492124110974
126.0,61.5991446,3.0629774358991546,3.062977464883821
127.0,62.0880267,2.846542712867386,2.846542729473555
128.0,62.5769088,2.803916014139944,2.803916056849496
129.0,63.0657909,3.2045510828105055,3.204551048689169
130.0,63.554673,3.1408783443901327,3.1408782660133223
131.0,64.0435551,3.55067993636381,3.5506798818071723
132.0,64.5324372,3.3673830462071956,3.3673828677302162
133.0,65.0213193,3.4687226900408477,3.4687227487893413
134.0,65.5102014,2.7749571806388635,2.774957208687117
135.0,65.9990835,3.0541763196415035,3.0541762080019503
136.0,66.4879656,3.2689479656735347,3.268947842478676
137.0,66.97684770000001,3.0041754942924612,3.0041754295072223
138.0,67.46572979999999,2.8330029929536624,2.83300297756019
139.0,67.9546119,3.0048194423875234,3.0048193199918383
140.0,68.443494,2.845837850627668,2.845837754905971
141.0,68.9323761,3.2933351607254018,3.293335223814616
142.0,69.4212582,3.1391318886965074,3.1391318231688596
143.0,69.91014030000001,3.126257533516902,3.1262574407027133
144.0,70.3990224,2.9622965191964497,2.9622963884742037
145.0,70.8879045,2.8638642488623365,2.8638642503088403
146.0,71.3767866,2.9067754955230596,2.906775530253229
147.0,71.8656687,3.4891391372259175,3.4891391636035314
148.0,72.3545508,3.389948104733836,3.3899480900185663
149.0,72.8434329,2.8395982730005334,2.8395982359826957
150.0,73.332315,2.947621239449227,2.9476212210099395
151.0,73.8211971,3.0662965198542653,3.0662964509336215
152.0,74.3100792,2.8156276447995907,2.8156276626494763
153.0,74.7989613,2.3923745436004884,2.392374407644916
154.0,75.2878434,2.8271930273359116,2.8271930065558033
155.0,75.7767255,2.7485239086218876,2.7485239312982306
156.0,76.26560760000001,2.554760551845854,2.5547605407545175
157.0,76.75448970000001,2.8530784925652015,2.853078493522826
158.0,77.2433718,2.5464804966312973,2.5464804703010406
159.0,77.7322539,2.5276875131185403,2.527687418148831
160.0,78.221136,2.708892549302588,2.708892497542944
161.0,78.7100181,2.6638012178236297,2.6638011233727052
162.0,79.1989002,2.3207076336671495,2.320707622850682
163.0,79.6877823,2.6744088898233063,2.674408846675904
164.0,80.1766644,2.3785295675301965,2.3785294935253507
165.0,80.6655465,2.3530106997440154,2.353010727345274
166.0,81.1544286,2.5614969523548563,2.5614969133912107
167.0,81.6433107,2.3029600619526356,2.302960092348261
168.0,82.13219280000001,2.61729921370672,2.6172991354066775
169.0,82.6210749,2.7096717098621395,2.7096716632547975
170.0,83.109957,2.6102226776343658,2.6102226852523582
171.0,83.5988391,2.45452910122519,2.4545290684762358
172.0,84.0877212,2.554641358432609,2.5546413635132605
173.0,84.57660329999999,2.2757945167843467,2.275794470109611
174.0,85.0654854,2.066896273350801,2.066896266476989
175.0,85.5543675,1.5764035064298463,1.576403422789091
176.0,86.0432496,1.6641194501137382,1.6641193566779429
177.0,86.53213170000001,1.8344027988602851,1.8344027732031603
178.0,87.0210138,1.719246118904044,1.7192461141141366
179.0,87.5098959,1.7323726177028156,1.7323726145763836
180.0,87.99877800000002,1.8989135322380757,1.8989134946453938
181.0,88.4876601,1.8477992494188775,1.847799260025663
182.0,88.9765422,1.8126229697256009,1.8126229431928333
183.0,89.46542430000001,1.6555783316548347,1.6555782504664995
184.0,89.95430640000001,1.6824054644692221,1.6824055311927169
185.0,90.44318849999999,1.7183311904789842,1.7183311748615027
186.0,90.9320706,1.7697604671268405,1.7697605345437957
187.0,91.4209527,1.6020749851620184,1.602074972120388
188.0,91.9098348,1.7501366762132027,1.7501365826996476
189.0,92.39871690000001,1.699037218948731,1.6990371339757337
190.0,92.88759900000001,1.722753348833463,1.722753421616868
191.0,93.3764811,1.5848305652010848,1.5848304937316946
192.0,93.86536320000002,1.6810860811907964,1.6810859957609388
193.0,94.3542453,1.7595286934246088,1.759528709025997
194.0,94.8431274,1.8514878033917836,1.8514877898667665
195.0,95.3320095,2.199818459413123,2.199818463062512
196.0,95.82089160000001,2.40871584655919,2.4087158792425227
197.0,96.3097737,2.1663800814748773,2.166379946581344
198.0,96.79865579999999,2.264451684097074,2.2644516872838767
199.0,97.2875379,2.197261750184496,2.197261695091316
200.0,97.77642,2.4499971405345122,2.4499970372438864
201.0,98.2653021,2.298054578728505,2.298054522709906
202.0,98.75418420000001,2.6690993131886,2.6690992596228345
203.0,99.24306630000001,2.6634320984669566,2.6634321397735303
204.0,99.7319484,2.540336843337871,2.5403368253585903
205.0,100.2208305,2.6561057447028658,2.6561056720139957
206.0,100.7097126,2.237097287199574,2.237097193697805
207.0,101.1985947,2.4134910709604727,2.4134911432677715
208.0,101.68747680000001,2.227856673286853,2.227856629647142
209.0,102.1763589,2.4255204684907508,2.4255204582320617
210.0,102.665241,2.0199188592480994,2.0199188711430724
211.0,103.1541231,2.258469263433918,2.2584692683369303
212.0,103.6430052,2.267491135643515,2.267491172668398
213.0,104.1318873,1.561855525305135,1.56185556484431
214.0,104.62076940000001,2.1656112456021184,2.16561129922499
215.0,105.10965150000001,2.0613749739338454,2.0613747886706415
216.0,105.5985336,1.9506055831526807,1.9506056619495344
217.0,106.08741570000001,1.870994918944697,1.8709948494601778
218.0,106.5762978,2.077812716980095,2.0778126761208204
219.0,107.0651799,1.9099688193451485,1.9099687601065338
220.0,107.55406199999999,1.5375521068006683,1.537552075513762
221.0,108.0429441,1.549098129545348,1.5490982030816876
222.0,108.5318262,2.0962586239401935,2.096258594688044
223.0,109.0207083,2.126543567960187,2.1265435889099553
224.0,109.50959040000001,2.3319128756592598,2.331912812685221
225.0,109.9984725,2.0624620296590965,2.0624620870692385
226.0,110.4873546,1.7457519515947792,1.7457519822743097
227.0,110.97623670000002,1.7997141258836875,1.79971407879249
228.0,111.4651188,1.59779883904747,1.5977988337709574
229.0,111.9540009,2.0172279511552755,2.0172278679331783
230.0,112.44288300000001,1.7063367968771113,1.7063368517244317
231.0,112.9317651,1.8333261153362346,1.8333261625702726
232.0,113.42064719999999,1.5802305898921418,1.5802305482315457
233.0,113.9095293,1.615267807586669,1.615267872023837
234.0,114.3984114,2.4418417651495155,2.4418417992069257
235.0,114.8872935,2.594459589884559,2.5944595600688394
236.0,115.37617560000001,2.390060864545565,2.390060867040718
237.0,115.86505770000001,2.2115786119055914,2.2115785756389776
238.0,116.3539398,2.2924714344924753,2.2924715189216345
239.0,116.84282190000002,2.37938415512101,2.3793840652804024
240.0,117.331704,2.309718919989593,2.3097188174286742
241.0,117.8205861,2.5768690579362574,2.576869046481503
242.0,118.30946820000001,2.3821607411993573,2.3821607917797443
243.0,118.79835030000001,2.1527132070748927,2.1527130959766927
244.0,119.2872324,2.255081646670215,2.2550816424811844
245.0,119.77611449999999,2.231859440962747,2.231859450687333
246.0,120.2649966,2.4642363350500083,2.4642362116359795
247.0,120.7538787,2.2689387248911292,2.268938694705217
248.0,121.2427608,2.4206623448653404,2.420662235411866
249.0,121.73164290000001,2.61484958352999,2.614849509619742
250.0,122.22052500000001,2.494705594690027,2.494705629518767
251.0,122.70940709999999,2.4481172862042513,2.4481172796505715
252.0,123.1982892,2.3420681259476623,2.3420680581937843
253.0,123.6871713,2.3208517798448915,2.3208517420414347
254.0,124.1760534,2.4749612272419848,2.474961231507854
255.0,124.66493550000001,2.350293153797359,2.3502931017507365
256.0,125.1538176,2.1825536483513184,2.1825536614080914
257.0,125.6426997,2.081396464057124,2.081396605822585
258.0,126.1315818,1.8529741510174282,1.8529741492012655
259.0,126.6204639,1.8139389267022914,1.8139388507021112
260.0,127.109346,2.4460989454025217,2.446098952574611
261.0,127.59822810000001,2.6202076449009333,2.620207525166035
262.0,128.0871102,2.4467263651183844,2.446726341644916
263.0,128.5759923,2.4015082429658934,2.4015082152153524
264.0,129.0648744,2.223123415327226,2.2231233721669597
265.0,129.55375650000002,2.186503663808219,2.1865037178963656
266.0,130.0426386,2.7438641991357042,2.7438641868565083
267.0,130.53152070000002,2.335824821043571,2.3358247560296244
268.0,131.0204028,1.7505307835796808,1.7505308290241306
269.0,131.5092849,1.4566754818902587,1.4566754517266116
270.0,131.998167,1.546905261762768,1.5469051438081451
271.0,132.4870491,1.4986582240507038,1.4986582641477664
272.0,132.9759312,1.4192518974129478,1.4192518484617194
273.0,133.4648133,1.1085153612806558,1.1085153377038657
274.0,133.95369540000002,1.2245213046413694,1.224521253294304
275.0,134.4425775,1.0377281670630651,1.0377282271411803
276.0,134.93145959999998,1.1014444331129118,1.1014445844678529
277.0,135.4203417,1.2412556901342755,1.2412557342219954
278.0,135.9092238,1.4916756421347577,1.4916757237065894
279.0,136.3981059,1.4014702797544605,1.4014701983886952
280.0,136.886988,1.3582990684760752,1.3582990548139382
281.0,137.37587010000001,1.4922657944342659,1.4922658550774417
282.0,137.8647522,1.3619754227037089,1.3619754979949643
283.0,138.3536343,1.2457359892304651,1.2457359753662784
284.0,138.8425164,1.387470569261828,1.3874705493726711
285.0,139.3313985,1.3070908808747448,1.3070908919216968
286.0,139.82028060000002,1.6339904229006048,1.633990356847441
287.0,140.3091627,1.4310698657840535,1.4310698227352323
288.0,140.7980448,1.8787229664174518,1.8787229980978997
289.0,141.28692690000003,1.6667492370939037,1.6667492158734136
290.0,141.775809,1.7411947013376485,1.7411946678075299
291.0,142.2646911,2.396057715243418,2.3960577179108373
292.0,142.7535732,2.0483054036586226,2.0483053946664325
293.0,143.24245530000002,2.26635995557189,2.2663599011399254
294.0,143.7313374,2.186675460845179,2.186675579137594
295.0,144.22021949999998,1.8449282907322717,1.8449282457331766
296.0,144.7091016,1.9156233457203733,1.9156232335188252
297.0,145.1979837,2.1732841344324467,2.1732841689153
298.0,145.6868658,2.190658137944606,2.190657977030026
299.0,146.1757479,2.543308117364426,2.5433080349150896
300.0,146.66463,2.286628002655091,2.2866279762011517
301.0,147.1535121,2.373781216284,2.373781172406857
